iter	Passed	Remaining
0	1	180
1	3	157
2	4	144
3	5	132
4	6	130
5	8	127
6	9	125
7	10	123
8	12	122
9	13	120
10	14	118
11	15	116
12	17	114
13	18	113
14	19	111
15	20	110
16	22	108
17	23	105
18	24	104
19	25	102
20	26	100
21	27	98
22	28	95
23	29	93
24	30	90
25	30	87
26	31	85
27	32	82
28	32	80
29	33	78
30	34	76
31	34	73
32	35	71
33	35	69
34	36	67
35	36	65
36	37	63
37	37	61
38	38	59
39	38	58
40	39	56
41	39	54
42	39	53
43	40	51
44	41	50
45	41	48
46	42	47
47	42	46
48	43	44
49	43	43
50	44	42
51	44	41
52	45	39
53	45	38
54	45	37
55	46	36
56	46	35
57	47	34
58	47	33
59	48	32
60	48	31
61	49	30
62	49	29
63	50	28
64	50	27
65	51	26
66	51	25
67	52	24
68	52	23
69	53	22
70	53	22
71	54	21
72	54	20
73	55	19
74	55	18
75	56	17
76	56	17
77	57	16
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	61	10
86	62	9
87	62	8
88	63	7
89	63	7
90	64	6
91	64	5
92	65	4
93	65	4
94	66	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
