iter	Passed	Remaining
0	249	249231
1	251	125321
2	252	83842
3	253	63025
4	253	50521
5	254	42153
6	254	36170
7	255	31689
8	256	28211
9	256	25423
10	257	23140
11	257	21235
12	258	19624
13	259	18243
14	259	17046
15	260	15997
16	260	15072
17	261	14248
18	261	13513
19	262	12850
20	262	12252
21	263	11708
22	263	11211
23	264	10756
24	265	10336
25	265	9955
26	266	9598
27	266	9266
28	267	8955
29	268	8667
30	268	8397
31	269	8143
32	269	7907
33	270	7682
34	270	7470
35	271	7268
36	271	7078
37	272	6898
38	273	6727
39	273	6564
40	274	6409
41	274	6262
42	275	6122
43	275	5988
44	276	5860
45	276	5737
46	277	5620
47	277	5507
48	278	5399
49	278	5295
50	279	5195
51	279	5099
52	280	5009
53	280	4922
54	281	4840
55	282	4759
56	282	4681
57	283	4604
58	284	4530
59	284	4459
60	285	4389
61	285	4323
62	286	4258
63	286	4194
64	287	4133
65	287	4073
66	288	4016
67	288	3959
68	289	3905
69	289	3852
70	290	3800
71	290	3750
72	291	3701
73	291	3653
74	292	3607
75	293	3562
76	293	3518
77	294	3475
78	294	3433
79	295	3393
80	295	3355
81	296	3319
82	296	3279
83	297	3243
84	298	3208
85	298	3173
86	299	3139
87	299	3106
88	300	3073
89	300	3041
90	301	3009
91	301	2978
92	302	2948
93	302	2918
94	303	2889
95	303	2861
96	304	2834
97	305	2807
98	305	2781
99	306	2755
100	306	2731
101	307	2706
102	308	2682
103	308	2658
104	309	2635
105	309	2611
106	310	2589
107	310	2567
108	311	2546
109	312	2525
110	312	2504
111	313	2483
112	313	2463
113	314	2443
114	314	2423
115	315	2403
116	315	2383
117	316	2364
118	316	2345
119	317	2327
120	317	2309
121	318	2290
122	318	2273
123	319	2255
124	319	2238
125	320	2221
126	320	2204
127	321	2188
128	321	2172
129	322	2156
130	322	2140
131	323	2125
132	323	2110
133	324	2095
134	324	2081
135	325	2067
136	325	2053
137	326	2040
138	327	2027
139	327	2013
140	328	2000
141	328	1986
142	329	1973
143	329	1960
144	330	1948
145	330	1935
146	331	1923
147	331	1910
148	332	1898
149	332	1886
150	333	1875
151	334	1863
152	334	1852
153	335	1840
154	335	1829
155	336	1818
156	336	1807
157	337	1796
158	337	1786
159	338	1775
160	338	1764
161	339	1753
162	339	1743
163	340	1734
164	340	1725
165	341	1716
166	342	1706
167	342	1697
168	343	1687
169	343	1678
170	344	1668
171	344	1659
172	345	1650
173	345	1641
174	346	1632
175	346	1624
176	347	1615
177	348	1607
178	348	1598
179	349	1590
180	349	1582
181	350	1574
182	350	1566
183	351	1558
184	351	1550
185	352	1542
186	352	1534
187	353	1527
188	354	1519
189	354	1512
190	355	1505
191	356	1499
192	356	1492
193	357	1485
194	358	1478
195	358	1470
196	359	1463
197	359	1456
198	360	1449
199	360	1442
200	361	1435
201	361	1428
202	362	1421
203	362	1414
204	363	1408
205	363	1401
206	364	1395
207	364	1388
208	365	1382
209	365	1375
210	366	1369
211	366	1363
212	367	1357
213	367	1350
214	368	1344
215	368	1339
216	369	1332
217	369	1326
218	370	1321
219	371	1316
220	371	1310
221	372	1304
222	372	1299
223	373	1293
224	373	1287
225	374	1282
226	374	1276
227	375	1271
228	375	1265
229	376	1260
230	376	1254
231	377	1249
232	377	1244
233	378	1238
234	378	1233
235	379	1228
236	380	1223
237	380	1218
238	380	1213
239	381	1208
240	382	1203
241	382	1198
242	383	1193
243	383	1188
244	384	1183
245	384	1179
246	385	1174
247	386	1170
248	386	1166
249	387	1161
250	387	1157
251	388	1152
252	388	1147
253	389	1143
254	389	1138
255	390	1134
256	390	1129
257	391	1125
258	391	1121
259	392	1116
260	392	1112
261	393	1108
262	393	1103
263	394	1099
264	394	1095
265	395	1091
266	395	1087
267	396	1082
268	397	1079
269	397	1075
270	398	1071
271	398	1067
272	399	1063
273	399	1059
274	400	1055
275	401	1052
276	401	1049
277	402	1045
278	403	1041
279	403	1037
280	404	1033
281	404	1030
282	405	1026
283	405	1022
284	406	1018
285	406	1015
286	407	1011
287	407	1007
288	408	1004
289	408	1000
290	409	997
291	409	993
292	410	990
293	410	986
294	411	983
295	411	979
296	412	976
297	412	972
298	413	969
299	413	965
300	414	962
301	415	959
302	415	956
303	416	953
304	417	950
305	417	947
306	418	944
307	418	940
308	419	937
309	419	934
310	420	931
311	420	927
312	421	924
313	421	921
314	422	918
315	422	915
316	423	912
317	423	909
318	424	906
319	425	903
320	425	900
321	426	897
322	426	894
323	427	891
324	427	888
325	428	885
326	428	882
327	429	879
328	429	876
329	430	873
330	431	871
331	431	868
332	432	865
333	432	862
334	433	860
335	433	857
336	434	854
337	434	851
338	435	848
339	435	845
340	436	843
341	436	840
342	437	837
343	437	834
344	438	832
345	438	829
346	439	826
347	439	824
348	440	821
349	440	818
350	441	816
351	441	813
352	442	810
353	442	808
354	443	805
355	443	803
356	444	800
357	444	797
358	445	795
359	446	793
360	446	791
361	447	788
362	448	786
363	448	783
364	449	781
365	449	778
366	450	776
367	450	773
368	451	771
369	451	769
370	452	766
371	452	764
372	453	761
373	453	759
374	454	757
375	454	754
376	455	752
377	455	750
378	456	747
379	456	745
380	457	743
381	457	740
382	458	738
383	458	736
384	459	733
385	460	731
386	460	729
387	461	727
388	462	725
389	462	723
390	463	721
391	463	719
392	464	716
393	464	714
394	465	712
395	465	710
396	466	708
397	466	705
398	467	703
399	467	701
400	468	699
401	468	697
402	469	695
403	469	693
404	470	691
405	470	689
406	471	686
407	471	684
408	472	682
409	473	680
410	473	678
411	474	676
412	474	674
413	475	672
414	475	670
415	476	668
416	477	666
417	477	664
418	478	662
419	478	660
420	479	658
421	479	656
422	480	654
423	480	652
424	481	650
425	481	649
426	482	647
427	482	645
428	483	643
429	483	641
430	484	639
431	485	637
432	485	635
433	486	633
434	486	632
